,,,,,Instrument Type ,Instrument Name ,Symbol ,Ser/Exp ,Strike Price ,Option Type ,Scrip Name ,Buy Qty ,Buy Lot ,Buy Weight ,Buy Val ,Buy Avg. ,Sell Qty ,Sell Lot ,Sell Weight ,Sell Val ,Sell Avg. ,Net Qty ,Net Lot ,Net Weight ,Net Val  ,Net Price ,Market Price ,MTMV Pos  ,MTM G/L  ,,,DPR Range ,Maturity Date ,Yield ,Total Value ,Total Quantity ,Total Lot ,Total Weight ,Brokerage ,Net MTM ,,Option Flag ,VAR % ,VAR Amount ,SM Category ,CF Avg Price ,Actual MTM P&L ,Unsettled Quantity ,ISIN Code ,Spot Price
,,,,,Options ,OPTIDX ,NIFTY ,07SEP2023 ,19750,CE ,NIFTY2390719750CE ,4750,95, ,52242.5,11,5750,115, ,85972.5,14.95,-1000,-20, ,33730,33.73,6.15,-6000,27730,,,0.05 - 142.35 , , ,138215,10500,210, ,NA ,27730,,OTM , , , , , , , ,19308.4
,,,,,Options ,OPTIDX ,NIFTY ,31AUG2023 ,19150,PE ,NIFTY23AUG19150PE ,2250,45, ,2250,1,2250,45, ,37490,16.66, , , ,35240, ,0.5,0,35240,,,0.05 - 66.85 , , ,39740,4500,90, ,NA ,35240,,OTM , , , , , , , ,19308.4
,,,,,Options ,OPTIDX ,NIFTY ,31AUG2023 ,19050,PE ,NIFTY23AUG19050PE ,12750,255, ,96412.5,7.56,12750,255, ,217952.5,17.09, , , ,121540, ,0.5,0,121540,,,0.05 - 19.20 , , ,314365,25500,510, ,NA ,121540,,OTM , , , , , , , ,19308.4
,,,,,Options ,OPTIDX ,NIFTY ,07SEP2023 ,19300,CE ,NIFTY2390719300CE ,700,14, ,124397.5,177.71,1100,22, ,152382.5,138.53,-400,-8, ,27985,69.96,139.35,-55080,-27095,,,0.05 - 521.00 , , ,276780,1800,36, ,NA ,-27095,,ITM , , , , , , , ,19308.4
,,,,,Options ,OPTIDX ,NIFTY ,07SEP2023 ,19400,PE ,NIFTY2390719400PE ,3750,75, ,493277.5,131.54,3750,75, ,407850,108.76, , , ,-85427.5, ,116.75,0,-85427.5,,,0.05 - 442.30 , , ,901127.5,7500,150, ,NA ,-85427.5,,ITM , , , , , , , ,19308.4
,,,,,Options ,OPTIDX ,NIFTY ,31AUG2023 ,18950,PE ,NIFTY23AUG18950PE ,11200,224, ,115217.5,10.29,11200,224, ,155062.5,13.84, , , ,39845, ,0.45,0,39845,,,0.05 - 4.50 , , ,270280,22400,448, ,NA ,39845,,OTM , , , , , , , ,19308.4
,,,,,Options ,OPTIDX ,NIFTY ,31AUG2023 ,19450,PE ,NIFTY23AUG19450PE ,300,6, ,52662.5,175.54,300,6, ,32287.5,107.63, , , ,-20375, ,156.5,0,-20375,,,0.05 - 578.60 , , ,84950,600,12, ,NA ,-20375,,ITM , , , , , , , ,19308.4
,,,,,Options ,OPTIDX ,NIFTY ,07SEP2023 ,19900,CE ,NIFTY2390719900CE ,750,15, ,4387.5,5.85,750,15, ,5137.5,6.85, , , ,750, ,3.15,0,750,,,0.05 - 85.25 , , ,9525,1500,30, ,NA ,750,,OTM , , , , , , , ,19308.4
,,,,,Options ,OPTIDX ,NIFTY ,31AUG2023 ,19300,PE ,NIFTY23AUG19300PE ,1150,23, ,60152.5,52.31,1150,23, ,88117.5,76.62, , , ,27965, ,22.4,0,27965,,,0.05 - 258.80 , , ,148270,2300,46, ,NA ,27965,,OTM , , , , , , , ,19308.4
,,,,,Options ,OPTIDX ,NIFTY ,31AUG2023 ,20100,CE ,NIFTY23AUG20100CE ,2500,50, ,8625,3.45,2500,50, ,1625,0.65, , , ,-7000, ,0.2,0,-7000,,,0.05 - 3.75 , , ,10250,5000,100, ,NA ,-7000,,OTM , , , , , , , ,19308.4
,,,,,Options ,OPTIDX ,NIFTY ,07SEP2023 ,18800,PE ,NIFTY2390718800PE ,2150,43, ,17527.5,8.15,2150,43, ,31812.5,14.8, , , ,14285, ,5.7,0,14285,,,0.05 - 67.15 , , ,49340,4300,86, ,NA ,14285,,OTM , , , , , , , ,19308.4
,,,,,Options ,OPTIDX ,NIFTY ,31AUG2023 ,18650,PE ,NIFTY23AUG18650PE ,4000,80, ,17790,4.45,4000,80, ,33657.5,8.41, , , ,15867.5, ,0.4,0,15867.5,,,0.05 - 3.55 , , ,51447.5,8000,160, ,NA ,15867.5,,OTM , , , , , , , ,19308.4
,,,,,Options ,OPTIDX ,NIFTY ,31AUG2023 ,19950,CE ,NIFTY23AUG19950CE ,4000,80, ,29350,7.34,4000,80, ,41425,10.36, , , ,12075, ,0.35,0,12075,,,0.05 - 3.80 , , ,70775,8000,160, ,NA ,12075,,OTM , , , , , , , ,19308.4
,,,,,Futures ,FUTSTK ,PIDILITIND ,28SEP2023 , , ,PIDILITIND23SEPFUT ,250,1, ,646862.5,2587.45,250,1, ,646862.5,2587.45, , , ,0, ,2588.05,0,0,,,2328.75 - 2846.20 , , ,1293725,500,2, ,NA ,0,,NA , , , , , , , ,2574.8
,,,,,Options ,OPTSTK ,RAMCOCEM ,31AUG2023 ,860,CE ,RAMCOCEM23AUG860CE ,850,1, ,11050,13,850,1, ,5567.5,6.55, , , ,-5482.5, ,5.5,0,-5482.5,,,0.05 - 55.05 , , ,16617.5,1700,2, ,NA ,-5482.5,,ITM , , , , , , , ,870.95
,,,,,Futures ,FUTSTK ,RELIANCE ,31AUG2023 , , ,RELIANCE23AUGFUT ,250,1, ,604562.5,2418.25,250,1, ,604562.5,2418.25, , , ,0, ,2409.25,0,0,,,2176.45 - 2660.10 , , ,1209125,500,2, ,NA ,0,,NA , , , , , , , ,2413.65
,,,,,Futures ,FUTSTK ,RELIANCE ,26OCT2023 , , ,RELIANCE23OCTFUT ,250,1, ,613087.5,2452.35, , , , , ,250,1, ,-613087.5,2452.35,2446.95,611737.5,-1350,,,2207.15 - 2697.60 , , ,613087.5,250,1, ,NA ,-1350,,NA , , , , , , , ,2413.65
