,,,,,Instrument Type ,Instrument Name ,Symbol ,Ser/Exp ,Strike Price ,Option Type ,Scrip Name ,Buy Qty ,Buy Lot ,Buy Weight ,Buy Val ,Buy Avg. ,Sell Qty ,Sell Lot ,Sell Weight ,Sell Val ,Sell Avg. ,Net Qty ,Net Lot ,Net Weight ,Net Val  ,Net Price ,Market Price ,MTMV Pos  ,MTM G/L  ,,,DPR Range ,Maturity Date ,Yield ,Total Value ,Total Quantity ,Total Lot ,Total Weight ,Brokerage ,Net MTM ,,Option Flag ,VAR % ,VAR Amount ,SM Category ,CF Avg Price ,Actual MTM P&L ,Unsettled Quantity ,ISIN Code ,Spot Price
,,,,,Futures ,FUTSTK ,SBIN ,28SEP2023 , , ,SBIN23SEPFUT ,1500,1, ,856350,570.9,1500,1, ,856350,570.9, , , ,0, ,569.45,0,0,,,513.85 - 628.00 , , ,1712700,3000,2, ,NA ,0,,NA , , , , , , , ,566.05
,,,,,Futures ,FUTSTK ,TATACHEM ,31AUG2023 , , ,TATACHEM23AUGFUT ,550,1, ,584045,1061.9,550,1, ,584045,1061.9, , , ,0, ,1068.8,0,0,,,955.75 - 1168.10 , , ,1168090,1100,2, ,NA ,0,,NA , , , , , , , ,1066.3
,,,,,Options ,OPTSTK ,TATACOMM ,31AUG2023 ,1840,CE ,TATACOMM23AUG1840CE ,500,1, ,9050,18.1,500,1, ,7825,15.65, , , ,-1225, ,0.05,0,-1225,,,0.05 - 26.45 , , ,16875,1000,2, ,NA ,-1225,,OTM , , , , , , , ,1787.5
,,,,,Futures ,FUTSTK ,TATAMOTORS ,28SEP2023 , , ,TATAMOTORS23SEPFUT ,1425,1, ,868751.25,609.65,1425,1, ,868751.25,609.65, , , ,0, ,610.55,0,0,,,548.70 - 670.65 , , ,1737502.5,2850,2, ,NA ,0,,NA , , , , , , , ,606.65
,,,,,Futures ,FUTSTK ,TATAPOWER ,31AUG2023 , , ,TATAPOWER23AUGFUT ,3375,1, ,833962.5,247.1,3375,1, ,833962.5,247.1, , , ,0, ,249.05,0,0,,,222.40 - 271.85 , , ,1667925,6750,2, ,NA ,0,,NA , , , , , , , ,249
,,,,,Futures ,FUTSTK ,TATASTEEL ,28SEP2023 , , ,TATASTEEL23SEPFUT ,5500,1, ,674300,122.6,5500,1, ,674300,122.6, , , ,0, ,123.25,0,0,,,110.35 - 134.90 , , ,1348600,11000,2, ,NA ,0,,NA , , , , , , , ,122.5
,,,,,Options ,OPTSTK ,TECHM ,28SEP2023 ,1200,CE ,TECHM23SEP1200CE ,1200,2, ,51000,42.5,1200,2, ,47220,39.35, , , ,-3780, ,44,0,-3780,,,0.05 - 80.40 , , ,98220,2400,4, ,NA ,-3780,,ITM , , , , , , , ,1212.45
,,,,,Futures ,FUTSTK ,TITAN ,31AUG2023 , , ,TITAN23AUGFUT ,375,1, ,1156143.75,3083.05,375,1, ,1156143.75,3083.05, , , ,0, ,3103.85,0,0,,,2774.75 - 3391.40 , , ,2312287.5,750,2, ,NA ,0,,NA , , , , , , , ,3104
,,,,,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,,,----------- , , ,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,,----------- ,----------- ,----------- ,----------- ,----------- ,----------- ,s, ,
,,,,,(ALL) ,(ALL) ,(ALL) ,(ALL) ,(ALL) ,(ALL) ,(ALL) ,632725,17583,0,237728057, ,654065,19061,0,187482578, ,-21340,-1478,0,-50245479, , ,50786181.5,540702.5,,,(ALL) , , ,425210635,1286790,36644,0,NA ,540702.5,-50245479,(ALL) ,(ALL) ,(ALL) ,(ALL) , ,0,0, ,
